100000000,5E-9,3
200000000,2E-9,4
300000000,2E-9,5
400000000,1E-9,6
500000000,1E-9,7
600000000,1E-9,8
700000000,5E-10,9
800000000,5E-10,10
900000000,5E-10,11
1000000000,5E-10,12
1100000000,5E-10,13
1200000000,5E-10,14
1300000000,5E-10,15
1400000000,2E-10,16
1500000000,2E-10,17
1600000000,2E-10,18
1700000000,2E-10,19
1800000000,2E-10,20
1900000000,2E-10,21
2000000000,2E-10,22
2100000000,2E-10,23
2200000000,2E-10,24
2300000000,2E-10,25
2400000000,2E-10,26
2500000000,2E-10,27
2600000000,2E-10,28
2700000000,2E-10,29
2800000000,2E-10,30
2900000000,2E-10,31
3000000000,2E-10,32
3100000000,1E-10,33
3200000000,1E-10,34
3300000000,1E-10,35
3400000000,1E-10,36
3500000000,1E-10,37
3600000000,1E-10,38
3700000000,1E-10,39
3800000000,1E-10,40
3900000000,1E-10,41
4000000000,1E-10,42
