Timestamp: posix.times_result(user=0.98, system=0.2, children_user=0.0, children_system=0.0, elapsed=4892162.12)
Type	Freq(GHz)	Params	Ratio	MSE_Noisy	MSE_Denoised
DualTone	14.3701	f2=1.5f1	18.1858	0.001147	0.020860
DualTone	6.4177	f2=1.5f1	4.0801	0.001606	0.006554
DualTone	5.1720	f2=1.5f1	2.7527	0.001296	0.003568
DualTone	6.0931	f2=1.5f1	5.2091	0.001097	0.005712
DualTone	16.0504	f2=1.5f1	9.7103	0.002507	0.024344
DualTone	14.0615	f2=1.5f1	7.6874	0.002728	0.020968
DualTone	5.7786	f2=1.5f1	4.1020	0.001227	0.005034
DualTone	19.9334	f2=1.5f1	10.8058	0.001595	0.017234
DualTone	10.9064	f2=1.5f1	10.2866	0.001099	0.011303
DualTone	6.6076	f2=1.5f1	3.0360	0.002495	0.007574
DualTone	7.6033	f2=1.5f1	7.4340	0.001278	0.009497
DualTone	14.9404	f2=1.5f1	16.8564	0.001325	0.022334
DualTone	4.1462	f2=1.5f1	1.0774	0.002176	0.002345
DualTone	8.9136	f2=1.5f1	6.0204	0.001752	0.010549
DualTone	4.6147	f2=1.5f1	2.4841	0.000970	0.002410
DualTone	8.4295	f2=1.5f1	7.9281	0.001299	0.010296
DualTone	8.6570	f2=1.5f1	6.2451	0.001662	0.010378
AM	13.8910	Mod=20.0M,Depth=1.0	1.3780	0.000014	0.000020
AM	18.9443	Mod=100.0M,Depth=0.5	1.0833	0.001279	0.001385
AM	18.8111	Mod=400.0M,Depth=0.5	1.0104	0.001047	0.001058
AM	19.0925	Mod=20.0M,Depth=1.0	8.5265	0.000087	0.000738
AM	1.2614	Mod=20.0M,Depth=1.0	1.4848	0.000008	0.000012
AM	19.7311	Mod=400.0M,Depth=1.0	1.0762	0.001334	0.001436
AM	12.2865	Mod=20.0M,Depth=1.0	1.1592	0.000023	0.000026
