100000000,-0.0172177125
200000000,0.0311982717
300000000,-0.0910845654
400000000,-0.157149836
500000000,-0.214948972
600000000,-0.304388668
700000000,-0.344649011
800000000,-0.404462953
900000000,-0.481995025
1000000000,-0.475403635
1100000000,-0.482570443
1200000000,-0.555415702
1300000000,-0.610035347
1400000000,-0.607696719
1500000000,-0.656157466
1600000000,-0.719489849
1700000000,-0.664230584
1800000000,-0.649116933
1900000000,-0.686466715
2000000000,-0.743541179
2100000000,-0.71617833
2200000000,-0.775701867
2300000000,-0.783887261
2400000000,-0.758758815
2480000000,-0.793947866
2600000000,-0.845698903
2700000000,-0.81985255
2800000000,-0.837245161
2900000000,-0.843096683
3000000000,-0.827690365
3100000000,-0.780111193
3200000000,-0.843011044
3300000000,-0.832910073
3400000000,-0.874030972
3500000000,-0.912242745
3600000000,-0.905162897
3700000000,-0.948507669
3800000000,-0.993349326
3900000000,-0.998007963
4000000000,-1.01189969
4100000000,-0.97983158
4200000000,-1.07861062
4300000000,-1.12426679
4400000000,-1.08169353
4500000000,-1.13317237
4600000000,-1.11477193
4700000000,-1.12211869
4800000000,-1.11113912
4900000000,-1.12843636
4980000000,-1.13193801
5100000000,-1.16008009
5200000000,-1.2238677
5300000000,-1.24612921
5400000000,-1.24048333
5500000000,-1.23082992
5600000000,-1.24957339
5700000000,-1.27731412
5800000000,-1.3093195
5900000000,-1.30058008
6000000000,-1.34749034
6100000000,-1.34328668
6200000000,-1.35353124
6300000000,-1.36442089
6400000000,-1.38649325
6500000000,-1.35044074
6600000000,-1.37224227
6700000000,-1.44115848
6800000000,-1.46393943
6900000000,-1.42126927
7000000000,-1.46624257
7100000000,-1.4109062
7200000000,-1.57579341
7300000000,-1.58273269
7400000000,-1.58881231
7480000000,-1.59559576
7600000000,-1.57348265
7700000000,-1.63225081
7800000000,-1.61821721
7900000000,-1.64654633
8000000000,-1.69122543
8100000000,-1.67351146
8200000000,-1.71735894
8300000000,-1.7057186
8400000000,-1.71194035
8500000000,-1.75467415
8600000000,-1.81924038
8700000000,-1.79066004
8800000000,-1.82839212
8900000000,-1.84888794
9000000000,-1.83609455
