100000000,5E-9,3
200000000,2E-9,4
300000000,2E-9,5
400000000,1E-9,6
500000000,1E-9,7
600000000,1E-9,8
700000000,5E-10,9
800000000,5E-10,10
900000000,5E-10,11
1000000000,5E-10,12
1100000000,5E-10,13
1200000000,5E-10,14
1300000000,5E-10,15
1400000000,2E-10,16
1500000000,2E-10,17
1600000000,2E-10,18
1700000000,2E-10,19
1800000000,2E-10,20
1900000000,2E-10,21
2000000000,2E-10,22
2100000000,2E-10,23
2200000000,2E-10,24
2300000000,2E-10,25
2400000000,2E-10,26
2500000000,2E-10,27
2600000000,2E-10,28
2700000000,2E-10,29
2800000000,2E-10,30
2900000000,2E-10,31
3000000000,2E-10,32
3100000000,1E-10,33
3200000000,1E-10,34
3300000000,1E-10,35
3400000000,1E-10,36
3500000000,1E-10,37
3600000000,1E-10,38
3700000000,1E-10,39
3800000000,1E-10,40
3900000000,1E-10,41
4000000000,1E-10,42
4100000000,1E-10,43
4200000000,1E-10,44
4300000000,1E-10,45
4400000000,1E-10,46
4500000000,1E-10,47
4600000000,1E-10,48
4700000000,1E-10,49
4800000000,1E-10,50
4900000000,1E-10,51
5000000000,1E-10,52
5100000000,1E-10,53
5200000000,1E-10,54
5300000000,1E-10,55
5400000000,1E-10,56
5500000000,1E-10,57
5600000000,1E-10,58
5700000000,1E-10,59
5800000000,1E-10,60
5900000000,1E-10,61
6000000000,1E-10,62
6100000000,1E-10,63
6200000000,1E-10,64
6300000000,1E-10,65
6400000000,1E-10,66
6500000000,1E-10,67
6600000000,5E-11,68
6700000000,5E-11,69
6800000000,5E-11,70
6900000000,5E-11,71
7000000000,5E-11,72
7100000000,5E-11,73
7200000000,5E-11,74
7300000000,5E-11,75
7400000000,5E-11,76
7500000000,5E-11,77
7600000000,5E-11,78
7700000000,5E-11,79
7800000000,5E-11,80
7900000000,5E-11,81
8000000000,5E-11,82
