100000000,0.168
200000000,-0.161
300000000,-0.128
400000000,-0.499
500000000,-0.203
600000000,-0.45
700000000,-0.59
800000000,-0.582
900000000,-0.262
1000000000,-0.36
1100000000,-0.34
1200000000,-0.406
1300000000,-0.351
1400000000,-0.515
1500000000,-0.462
1600000000,-0.57
1700000000,-0.374
1800000000,-0.586
1900000000,-0.553
2000000000,-0.45
2100000000,-0.466
2200000000,-0.47
2300000000,-0.497
2400000000,-0.478
2480000000,-0.377
2600000000,-0.709
2700000000,-0.812
2800000000,-0.689
2900000000,-0.839
3000000000,-0.851
3100000000,-0.897
3200000000,-0.973
3300000000,-0.929
3400000000,-1.045
3500000000,-1.194
3600000000,-0.977
3700000000,-1.072
3800000000,-0.859
3900000000,-1.019
4000000000,-1.384
4100000000,-1.311
4200000000,-1.082
4300000000,-1.306
4400000000,-1.397
4500000000,-1.45
4600000000,-1.369
4700000000,-1.372
4800000000,-1.376
4900000000,-1.454
4980000000,-1.466
5100000000,-1.195
5200000000,-1.228
5300000000,-1.098
5400000000,-1.23
5500000000,-1.232
5600000000,-1.249
5700000000,-1.324
5800000000,-1.268
5900000000,-1.227
6000000000,-1.406
6100000000,-1.316
6200000000,-1.54
6300000000,-1.301
6400000000,-1.311
6500000000,-1.466
6600000000,-1.311
6700000000,-1.348
6800000000,-1.343
6900000000,-1.201
7000000000,-1.311
7100000000,-1.327
7200000000,-1.456
7300000000,-1.555
7400000000,-1.448
7480000000,-1.542
7600000000,-1.783
7700000000,-1.597
7800000000,-1.49
7900000000,-1.716
8000000000,-1.854
8100000000,-1.655
8200000000,-1.845
8300000000,-1.79
8400000000,-1.81
8500000000,-2.055
8600000000,-1.96
8700000000,-1.927
8800000000,-2.022
8900000000,-1.83
9000000000,-1.827
